Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,year,month,day,weekofyear,quarter,dayofyear,is_weekend,is_month_start,is_month_end,days_since_start,dow_sin,dow_cos,month_sin,month_cos,competition_open_months,promo2_active
47,3,2014-01-01,0,0,0,0,a,1,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,1,1,1,1,0,1,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,9,0
47,4,2014-01-02,6154,850,1,0,0,1,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,2,1,1,2,0,0,0,1,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,9,0
47,5,2014-01-03,5305,776,1,0,0,1,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,3,1,1,3,0,0,0,2,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,9,0
47,6,2014-01-04,5523,825,1,0,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,4,1,1,4,1,0,0,3,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,9,0
47,7,2014-01-05,0,0,0,0,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,5,1,1,5,1,0,0,4,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,9,0
47,1,2014-01-06,9013,1069,1,1,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,6,2,1,6,0,0,0,5,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,9,0
47,2,2014-01-07,9008,1129,1,1,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,7,2,1,7,0,0,0,6,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,9,0
47,3,2014-01-08,7976,991,1,1,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,8,2,1,8,0,0,0,7,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,9,0
47,4,2014-01-09,7052,882,1,1,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,9,2,1,9,0,0,0,8,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,9,0
47,5,2014-01-10,7189,905,1,1,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,10,2,1,10,0,0,0,9,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,9,0
47,6,2014-01-11,5599,767,1,0,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,11,2,1,11,1,0,0,10,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,9,0
47,7,2014-01-12,0,0,0,0,0,0,a,c,270.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct",2014,1,12,2,1,12,1,0,0,11,-2.4492935982947064e-16,1.0,0.49999999999999994,0.8660254037844387,9,0
